model,pathway,scenario,region,variables,unit,2020
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsNL,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsUA,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsPL,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsFR,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsGB,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsNO,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsCZ,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsMT,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsDK,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsIT,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsLV,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsDE,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsPT,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsFI,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsBY,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsGI,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsAL,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsHU,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsCH,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityMV|TransformationHVMV,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityMV|SolarPVRoofCommercial,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityMV|Waste,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityLV|TransformationMVLV,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityLV|BatteryChemical,share,
image,SSP2-Base,Business As Usual,BG,Share|ElectricityLV|SolarPVRoofResidential,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Coal,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|CombinedCycle,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|GasTurbine,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|CogenerationGas,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Nuclear,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Oil,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Geothermal,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|HydroRunofRiver,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|HydroReservoir,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Biomass,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Biogas,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|WindOnshore,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|WindOffshore,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|SolarThermal,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|SolarPVOpen,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|Hydrogen,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|BatteryHydro,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsES,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBG,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsSE,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsAT,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsMK,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsMD,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsHR,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsXK,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsLU,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsGR,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsIS,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBA,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsEE,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsSK,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsME,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsLT,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsSI,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsIE,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsBE,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsRS,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsRO,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsNL,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsUA,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsPL,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsFR,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsGB,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsNO,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsCZ,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsMT,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsDK,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsIT,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsLV,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsDE,share,
image,SSP2-Base,Business As Usual,SE,Share|ElectricityHV|ImportsPT,share,
