model,pathway,scenario,region,variables,unit,2020,2050
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|SolarPVRoofCommercial,share,0.1,0.3892237571512575
image,SSP2-Base,Business As Usual,ES,Share|ElectricityMV|Waste,share,0.0999999999999999,0.1
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|TransformationMVLV,share,0.8503233634954516,0.7960888790986175
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|BatteryChemical,share,0.0496766365045484,0.0539111209013825
image,SSP2-Base,Business As Usual,ES,Share|ElectricityLV|SolarPVRoofResidential,share,0.0999999999999999,0.15
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Coal,share,0.0264641648053284,0.0096398775673135
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|CombinedCycle,share,0.0277608746803996,0.0182756502864558
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|GasTurbine,share,0.1312323640538899,0.0179665190147444
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|CogenerationGas,share,0.0282596568634341,0.0083180788831271
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Nuclear,share,0.0498738123184527,0.004832730911145
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Oil,share,0.0018824501553843,0.0165776562505175
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Geothermal,share,0.0857455291632477,0.0151835878234203
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|HydroRunofRiver,share,0.0453940044898607,0.0105598434205545
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|HydroReservoir,share,0.0189214295711947,0.0807004388616502
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Biomass,share,0.013794067901169,0.1061217117813414
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Biogas,share,0.0357071046123602,0.0801059616153565
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|WindOnshore,share,0.0581026386248994,0.0889081228562367
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|WindOffshore,share,0.0866927803165855,0.1044593600566289
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|SolarThermal,share,0.0440722958514209,0.2097333106029442
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|SolarPVOpen,share,0.0217050589109211,0.1299725718903099
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|Hydrogen,share,0.0915796234165246,0.019266104215724
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|BatteryHydro,share,0.0424267210200234,0.0746860843284127
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsES,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsBG,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsSE,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsAT,share,0.0,0.0
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsMK,share,0.0129807575795372,0.002375405138728
image,SSP2-Base,Business As Usual,BG,Share|ElectricityHV|ImportsMD,share,0.0,0.0
